transaction_id,transaction_amount,transaction_type,location,time_of_day,account_age_days,num_prev_transactions,is_foreign_transaction,is_high_risk_country,has_chip,is_fraud
TXN100000,46.93,atm,WA,morning,73,32,0,0,0,0
TXN100001,301.01,transfer,FL,evening,94,21,0,0,1,0
TXN100002,131.67,transfer,FL,evening,275,306,0,0,1,0
TXN100003,91.29,in_store,MA,afternoon,1016,10,0,0,1,0
TXN100004,16.96,online,TX,morning,1638,126,0,0,1,0
TXN100005,16.96,transfer,TX,morning,3172,441,0,0,1,0
TXN100006,5.98,in_store,WA,night,1754,49,0,0,1,0
TXN100007,201.12,atm,NV,morning,2235,197,0,0,0,0
TXN100008,91.91,atm,NY,morning,3015,16,0,0,0,0
TXN100009,123.13,atm,IL,night,1528,429,0,0,1,0
TXN100010,2.08,atm,NY,night,1078,43,0,0,1,0
TXN100011,350.36,in_store,NY,morning,2902,184,0,0,1,0
TXN100012,178.64,online,TX,evening,3324,388,0,0,0,0
TXN100013,23.87,in_store,TX,evening,189,38,0,0,1,0
TXN100014,20.07,online,FL,morning,2895,441,0,0,0,0
TXN100015,20.26,atm,TX,evening,1034,495,0,0,1,0
TXN100016,36.28,transfer,WA,night,2152,136,0,0,0,0
TXN100017,74.39,transfer,FL,evening,2215,476,0,0,1,0
TXN100018,56.55,transfer,GA,morning,1971,278,0,0,1,0
TXN100019,34.42,online,NY,evening,508,430,0,0,1,0
TXN100020,94.64,atm,GA,morning,2630,163,1,0,0,0
TXN100021,15.02,in_store,NY,evening,1356,30,0,0,0,0
TXN100022,34.55,transfer,NY,morning,416,339,0,0,0,0
TXN100023,45.63,online,MA,morning,501,22,0,0,1,0
TXN100024,60.89,transfer,NY,evening,3435,439,0,1,1,0
TXN100025,153.79,in_store,NV,evening,338,198,0,0,1,0
TXN100026,22.27,atm,GA,night,3629,173,0,0,1,0
TXN100027,72.2,in_store,NY,afternoon,2964,57,0,0,0,0
TXN100028,89.75,atm,CA,morning,730,419,0,0,0,0
TXN100029,4.76,atm,CA,morning,3641,195,1,0,1,0
TXN100030,93.53,atm,CA,morning,3264,87,0,0,1,0
TXN100031,18.7,transfer,WA,morning,3077,443,0,0,1,0
TXN100032,6.73,in_store,FL,evening,1951,141,0,1,1,0
TXN100033,297.37,transfer,GA,evening,1882,280,0,0,1,0
TXN100034,337.06,in_store,NY,afternoon,3029,454,0,0,0,0
TXN100035,165.23,online,OH,morning,2047,206,0,0,1,0
TXN100036,36.33,online,FL,afternoon,1108,171,0,0,0,0
TXN100037,10.28,in_store,OH,night,815,301,0,0,1,0
TXN100038,115.28,in_store,IL,afternoon,1508,396,0,0,1,0
TXN100039,58.01,in_store,NV,afternoon,2382,317,0,0,0,0
TXN100040,13.02,in_store,IL,night,131,274,1,0,1,0
TXN100041,68.35,atm,TX,night,804,395,0,0,1,0
TXN100042,3.5,transfer,FL,afternoon,3489,367,0,0,1,0
TXN100043,240.04,atm,OH,night,1261,345,0,0,0,0
TXN100044,29.95,transfer,MA,afternoon,1368,47,1,0,1,0
TXN100045,108.63,transfer,NY,evening,3150,160,0,0,1,0
TXN100046,37.35,transfer,WA,evening,601,462,0,0,0,0
TXN100047,73.41,atm,GA,afternoon,3619,164,0,0,1,0
TXN100048,79.12,in_store,NY,night,177,389,1,0,0,0
TXN100049,20.44,atm,GA,night,1852,378,0,0,1,0
TXN100050,349.28,atm,MA,evening,3312,216,0,0,1,0
TXN100051,149.22,transfer,NY,evening,3473,116,0,0,0,0
TXN100052,280.51,online,NV,night,626,336,0,0,0,0
TXN100053,225.22,online,TX,night,1007,426,0,0,1,0
TXN100054,91.11,atm,CA,night,1100,250,0,0,1,0
TXN100055,254.94,transfer,MA,night,2576,355,0,0,1,0
TXN100056,9.27,atm,TX,afternoon,184,433,0,0,1,0
TXN100057,21.81,atm,NY,night,259,243,1,0,0,0
TXN100058,4.63,in_store,OH,evening,3401,429,0,0,1,0
TXN100059,39.35,transfer,TX,evening,187,246,0,0,1,0
TXN100060,49.21,online,WA,morning,952,72,0,0,1,0
TXN100061,31.66,online,TX,night,3348,283,0,0,1,0
TXN100062,176.46,online,IL,afternoon,2645,482,0,0,0,0
TXN100063,44.12,atm,NV,morning,1204,194,1,0,1,0
TXN100064,32.98,transfer,MA,morning,2376,266,0,0,1,0
TXN100065,78.24,in_store,CA,afternoon,3155,403,0,0,0,0
TXN100066,15.19,online,NY,morning,1276,86,0,0,1,0
TXN100067,162.05,transfer,MA,morning,795,245,1,0,1,0
TXN100068,7.75,online,FL,evening,2642,157,1,0,0,0
TXN100069,433.41,in_store,MA,morning,496,356,1,0,1,0
TXN100070,147.95,transfer,WA,afternoon,515,35,0,0,0,0
TXN100071,22.15,atm,MA,night,1605,235,0,0,1,0
TXN100072,0.55,atm,FL,night,473,247,0,0,1,0
TXN100073,168.99,online,TX,night,1907,459,0,0,1,0
TXN100074,122.71,online,IL,evening,934,99,0,0,1,0
TXN100075,130.57,transfer,TX,evening,2940,226,0,0,1,0
TXN100076,147.52,in_store,TX,evening,3239,118,0,0,0,0
TXN100077,7.69,online,FL,afternoon,1831,353,0,0,1,0
TXN100078,44.39,transfer,GA,night,955,195,0,0,0,0
TXN100079,12.32,in_store,CA,afternoon,2007,87,1,0,1,0
TXN100080,198.85,online,FL,afternoon,321,35,0,0,1,0
TXN100081,97.63,online,TX,morning,1263,313,0,0,0,0
TXN100082,40.18,transfer,MA,night,1864,27,0,0,1,0
TXN100083,6.57,online,CA,morning,781,38,0,0,1,0
TXN100084,37.25,atm,NY,evening,1264,321,1,0,1,0
TXN100085,39.33,in_store,OH,evening,2952,426,0,0,1,0
TXN100086,130.79,in_store,NY,afternoon,692,4,0,0,0,0
TXN100087,101.49,atm,WA,afternoon,3489,475,0,0,1,0
TXN100088,218.23,transfer,TX,morning,1449,140,0,0,0,0
TXN100089,63.91,atm,MA,morning,3225,227,0,0,0,0
TXN100090,12.74,atm,GA,afternoon,1614,8,0,0,0,0
TXN100091,124.91,in_store,IL,night,949,358,1,0,0,0
TXN100092,143.04,transfer,IL,afternoon,938,477,1,0,1,0
TXN100093,82.39,online,CA,night,153,56,0,0,1,0
TXN100094,147.39,atm,GA,morning,97,282,0,0,1,0
TXN100095,68.08,atm,OH,evening,504,444,0,0,1,0
TXN100096,73.97,transfer,NY,evening,387,460,0,0,1,0
TXN100097,55.78,atm,OH,morning,1796,489,0,0,1,0
TXN100098,2.57,transfer,NV,morning,1509,358,0,0,1,0
TXN100099,11.42,online,NY,evening,1399,177,0,1,0,0
TXN100100,3.19,transfer,NY,night,1983,475,0,0,0,0
TXN100101,101.17,online,NY,morning,2598,81,0,0,0,0
TXN100102,37.74,transfer,MA,night,1936,417,0,0,1,0
TXN100103,71.04,atm,FL,night,862,84,0,0,1,0
TXN100104,238.13,online,MA,evening,2701,64,0,0,1,0
TXN100105,28.67,atm,IL,night,3599,428,0,0,1,0
TXN100106,52.83,online,MA,evening,3429,342,0,0,1,0
TXN100107,140.87,transfer,OH,morning,1383,289,0,0,1,0
TXN100108,25.98,transfer,MA,afternoon,2504,355,0,0,0,0
TXN100109,8.01,transfer,FL,afternoon,1038,456,0,0,1,0
TXN100110,34.21,in_store,CA,afternoon,472,135,0,0,1,1
TXN100111,17.58,in_store,GA,afternoon,630,249,0,0,0,0
TXN100112,265.5,online,CA,afternoon,3196,497,0,0,1,0
TXN100113,165.09,in_store,NV,afternoon,2839,93,0,0,1,0
TXN100114,100.35,transfer,IL,night,3032,47,0,0,1,0
TXN100115,205.15,in_store,NV,night,1504,419,0,0,0,0
TXN100116,162.8,in_store,NV,afternoon,3418,99,0,0,1,0
TXN100117,20.65,atm,GA,morning,516,337,0,0,1,0
TXN100118,223.08,online,GA,morning,2816,193,0,0,1,0
TXN100119,77.51,online,FL,night,2725,116,0,0,0,0
TXN100120,164.73,online,FL,night,2973,266,0,0,1,0
TXN100121,226.42,in_store,CA,afternoon,2082,307,0,0,1,0
TXN100122,38.27,transfer,FL,morning,661,163,0,0,1,0
TXN100123,11.66,atm,FL,evening,3472,478,0,0,1,0
TXN100124,25.87,online,WA,afternoon,1784,286,0,0,0,0
TXN100125,55.71,in_store,TX,night,2954,23,0,0,1,0
TXN100126,170.38,transfer,CA,night,3063,493,0,0,1,1
TXN100127,197.13,atm,GA,night,1608,404,1,0,0,0
TXN100128,0.7,atm,CA,evening,1241,95,0,0,0,0
TXN100129,71.49,online,GA,morning,55,496,1,0,0,0
TXN100130,54.03,online,MA,night,2239,253,0,0,0,0
TXN100131,25.12,transfer,TX,afternoon,2822,413,0,0,1,0
TXN100132,12.77,in_store,WA,evening,3231,120,0,0,1,0
TXN100133,41.19,transfer,WA,morning,2610,71,0,0,0,0
TXN100134,286.31,online,OH,afternoon,2960,352,0,0,1,0
TXN100135,39.04,transfer,IL,afternoon,2487,370,0,0,1,0
TXN100136,73.15,in_store,GA,evening,1693,63,0,0,1,0
TXN100137,121.41,atm,IL,evening,1126,242,0,0,0,0
TXN100138,45.2,atm,MA,evening,1286,126,0,0,1,0
TXN100139,356.78,atm,WA,night,2932,372,1,0,1,0
TXN100140,328.2,atm,MA,morning,1159,38,0,0,1,0
TXN100141,29.01,online,NV,night,930,384,0,0,1,0
TXN100142,68.77,online,TX,evening,38,352,1,0,0,0
TXN100143,35.79,in_store,OH,evening,79,425,0,0,0,1
